,Movie,Released Year,Certificate,Duration,Genre,Rating,Metascore,Votes
133,The Ice Road,2021,PG-13,109 min,"Action, Adventure, Drama",5.5,42,"9,169"
134,Voyagers,2021,PG-13,108 min,"Adventure, Sci-Fi, Thriller",5.4,44,"9,096"
135,Jagame Thandhiram,2021,TV-MA,158 min,"Action, Crime, Drama",6.1,Not available,"9,013"
136,The Vault,2021,R,118 min,"Action, Adventure, Thriller",6.4,50,"8,914"
137,Barb and Star Go to Vista Del Mar,2021,PG-13,107 min,Comedy,6.4,64,"8,427"
138,Locked Down,I 2021,R,118 min,"Comedy, Crime, Romance",5.2,42,"8,425"
139, The Walking Dead,2010–2022,TV-MA,50 min,"Drama, Horror, Thriller",9.3,Not available,"8,031"
140,Finding 'Ohana,2021,PG,123 min,"Action, Adventure, Comedy",6.1,69,"7,908"
141,Time,2021– ,59 min,59 min,"Crime, Drama",8.4,Not available,"7,567"
142,The Married Woman,2021– ,30 min,30 min,"Drama, Romance",9.4,Not available,"7,556"
143,Mumbai Saga,2021,135 min,135 min,"Action, Crime",6.1,Not available,"7,400"
144,Ferry,2021,TV-MA,106 min,"Action, Crime, Drama",7.0,Not available,"7,396"
145,The Girl on the Train,2021,TV-MA,120 min,"Crime, Drama, Mystery",4.4,Not available,"7,367"
146,The Equalizer,2021– ,TV-14,Not available,"Action, Crime, Drama",4.8,Not available,"7,223"
147,Pagglait,2021,TV-14,114 min,"Comedy, Drama",6.9,Not available,"7,213"
148," Love, Death & Robots",2019– ,TV-MA,18 min,"Animation, Short, Comedy",8.1,Not available,"7,201"
149, Invincible,2021– ,TV-MA,45 min,"Animation, Action, Adventure",9.7,Not available,"7,160"
150,Methagu,2021,"
Biography, History            ",Not available,"Biography, History",9.7,Not available,"6,917"
151, Aspirants,2021– ,46 min,46 min,Drama,9.6,Not available,"6,910"
152,The Hitman's Wife's Bodyguard,2021,R,100 min,"Action, Comedy, Crime",6.5,32,"6,889"
153,Kaagaz,2021,109 min,109 min,"Biography, Comedy, Drama",7.5,Not available,"6,864"
154,Sandeep Aur Pinky Faraar,2021,125 min,125 min,"Comedy, Crime, Drama",6.3,Not available,"6,840"
155,Cosmic Sin,2021,R,88 min,"Action, Adventure, Sci-Fi",2.5,9,"6,815"
156,Vincenzo,2021– ,Not Rated,80 min,"Comedy, Crime, Romance",8.6,Not available,"6,801"
157,Sherni,2021,131 min,131 min,Drama,6.9,Not available,"6,770"
158, Invincible,2021– ,TV-MA,48 min,"Animation, Action, Adventure",9.6,Not available,"6,757"
159," Love, Death & Robots",2019– ,TV-MA,12 min,"Animation, Short, Comedy",6.5,Not available,"6,685"
160,Sentinelle,2021,TV-MA,80 min,"Action, Crime, Drama",4.7,Not available,"6,648"
161,Debris,2021,TV-PG,Not available,"Drama, Mystery, Sci-Fi",6.5,Not available,"6,541"
162,Roohi,2021,134 min,134 min,"Comedy, Horror",4.3,Not available,"6,513"
163,Operation Varsity Blues,2021,R,99 min,"Documentary, Crime, Drama",7.0,70,"6,486"
164," Love, Death & Robots",2019– ,TV-MA,18 min,"Animation, Short, Comedy",7.9,Not available,"6,444"
165,Clarice,2021– ,TV-14,60 min,"Crime, Drama, Mystery",6.5,Not available,"6,431"
166,Joji,2021,113 min,113 min,"Crime, Drama",7.9,Not available,"6,428"
167,Music,2021,PG-13,107 min,"Drama, Musical",3.1,23,"6,382"
168," Love, Death & Robots",2019– ,TV-MA,13 min,"Animation, Short, Comedy",6.1,Not available,"6,344"
169,Sunflower,2021– ,36 min,36 min,"Comedy, Crime",7.6,Not available,"6,333"
170,Bang Baang,2021– ,18 min,18 min,"Action, Thriller",6.8,Not available,"6,322"
171,SAS: Red Notice,2021,R,124 min,"Action, Thriller",4.9,Not available,"6,258"
172,Fatma,2021– ,TV-MA,40 min,"Crime, Drama, Thriller",7.5,Not available,"6,258"
173,Tell Me Your Secrets,I 2021– ,TV-14,Not available,"Crime, Drama, Mystery",7.4,Not available,"6,225"
174,Sky Rojo,2021– ,TV-MA,31 min,"Action, Adventure, Crime",6.5,Not available,"6,217"
175, Invincible,2021– ,TV-MA,47 min,"Animation, Action, Adventure",9.0,Not available,"6,180"
176,Snabba Cash,2021– ,TV-MA,52 min,"Action, Crime, Drama",7.6,Not available,"6,165"
177,Walker,2021– ,TV-14,Not available,"Action, Crime, Drama",5.9,Not available,"6,134"
178, The Walking Dead,2010–2022,TV-14,43 min,"Drama, Horror, Thriller",4.1,Not available,"6,051"
179,The Mosquito Coast,2021– ,TV-MA,Not available,"Adventure, Drama, Thriller",7.0,Not available,"6,036"
180, Aspirants,2021– ,38 min,38 min,Drama,9.6,Not available,"5,955"
